1;2;Top of a silver skyscraper;Evening;A 19-year-old girl
3;4;Silver skyscraper overlooking city and sea;Evening;A 19-year-old girl
5;6;Silver skyscraper balcony overlooking city;Night;A 19-year-old girl
7;8;Free falling from top of a silver skyscraper;Late evening;A 19-year-old girl
9;10;Free falling past windows of a silver skyscraper;Late evening;A 19-year-old girl and wealthy men
11;14;Free falling past windows of a silver skyscraper;Late evening;A 19-year-old girl, a stylish young man and wealthy people
15;17;Free falling past windows of a silver skyscraper;Late evening;A 19-year-old girl and other falling women
18;23;Free falling past windows of a silver skyscraper;Night;A 19-year-old girl and female office workers
24;26;Free falling past windows of a silver skyscraper;Night;A 19-year-old girl
27;29;Silver skyscraper overlooking the entrance of a colorful mansion;Night;A 19-year-old girl
30;34;Free falling past windows of a silver skyscraper;Night;A 19-year-old girl and other falling women
35;38;Free falling past dark windows of a silver skyscraper;Night;A 19-year-old girl
39;41;Near the bottom of a silver skyscraper;Pre-dawn;A 19-year-old girl and pedestrians
42;44;Nearly at the street level of a silver skyscraper;Pre-dawn;A 19-year-old girl and pedestrians
45;46;At an apartment inside the middle floors of the skyscraper;Morning;A middle-aged man having coffee and his wife doing chores
47;47;An apartment inside the middle floors of the skyscraper;Morning;A middle-aged couple and a falling elderly woman
